Company,Founded,City,Domain,Description,Founders,Investors,Amount,Stage
Crejo.Fun,2020,Bengaluru,EdTech,"['learning', 'Crejo', 'Fun', 'digital', 'extracurricular']",Vikas Bansal,"Matrix Partners India, 021 Capital",3000000,Seed
CropIn,2010,Bengaluru,AgriTech,"['CropIn', 'leading', 'AI', 'Data', 'led']",Krishna Kumar,"Invested Development, Pratithi Investment Trust",20000000,Series C
Crypso,2021,Bengaluru,Cryptocurrency,"['crypto', 'Crypso', 'infrastructure', 'people', 'engage']",Rakesh Raman,Better Capital and Jaynti Kanani,24000000,Seed
Cuemath,2013,Bengaluru,EdTech,"['Cuemath', 'international', 'online', 'learning', 'platform']",Manan Khurma,Sequoia Capital India and Unitus Ventures,121500000,Unknown
Cultures To Love,2017,Mumbai,Food & Beverages,"['Cultures', 'Love', 'leading', 'provider', 'Kefir']","Abhishek Agarwal, Akash Sharma",Insitor Partners and Alkemi Venture Partners,7700000,Series A
CureBay,2020,Bhubhaneshwar,Healthcare,"['healthcare', 'CureBay', 'platform', 'connect', 'patients']","Shobhan Mahapatra, Sanjay Swain, Priyadarshi Mohapatra",Elevar Equity.,5000000,SeriesA
Curefit,2016,Bengaluru,Healthcare,"['Tata', 'Digital', 'backed', 'Curefit']","Mukesh Bansal, Ankit",Zomato,145000000,Undisclosed
CureFood,2020,Bengaluru,Food & Beverages,"['Curefoods', 'democratize', 'access', 'good', 'food']",Ankit Nagori,Potential Ventures and NB Venture,183300000,Series C
Curefoods,2020,Bengaluru,Food & Beverages,"['Edinburgh', 'Healthy', 'nutritious', 'foods', 'cold']",Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000,Undisclosed
CureSkin,2016,Bengaluru,Healthcare,"['Artificial', 'intelligence', 'driven', 'beauty', 'personal']","Guna Kakulapati, Rama Rajanna, Charu Sharma",JSW Ventures,5000000,Series A
CuriousJr,2020,Gurugram,E-Learning,"['CuriousJr', 'platform', 'answer', 'kids', 'curiosity']","Amit Shekhar, Janishar Ali, Mridul Ranjan Sahu","WaterBridge Ventures, Enzia Ventures",1000000,Seed
Cusmat,2016,Hyderabad,Computer Software,"['CUSMAT', 'India', 'largest', 'immersive', 'skilling']","Abhinav Ayan, Anirban Jyoti Chakravorty",We Founder Circle,100000,Pre-series A
CustomerGlu,2016,Bengaluru,CRM,"['CustomerGlu', 'Low', 'code', 'Interactive', 'Engagement']","Prateek Gupta, Raman Shrivastava, Sumant US","Kumar Aakash, Amit Singhal",320000,Undisclosed
Cuvette Tech,2020,Bengaluru,Human Resources,"['Help', 'startups', 'find', 'interns', 'verified']","Atul Singhal, Sudhanshu Singh","Varun Alagh, Harish Daiya",1800000,Seed
Daalchini,2017,New Delhi,Food & Beverages,"['Daalchini', 'provides', 'affordable', 'quality', 'home']",Prerna Kalra,Ajay Kaul and Unicorn India Venture,57000000,Series A
DaMENSCH,2018,Bengaluru,Apparel & Fashion,"['Innovative', 'sustainable', 'premium', 'essential', 'fashion']","Anurag Saboo, Gaurav Pushkar",A91 Partners,10000000,Series B
DaMENSCH,2018,Bengaluru,Textiles,"['men', 'DaMENSCH', 'designs', 'apparel', 'create']","Anurag Saboo, Gaurav Pushkar",Saama Capital and Matrix Partners India,190000000,Series B
Darwinbox,2015,Bengaluru,Information Technology,"['end', 'new', 'age', 'HR', 'Technology']","Chaitanya Peddi, Jayant Paleti, Rohit Chennamaneni",Technology Crossover Ventures,72000000,Series D
Darwinbox,2015,Hyderabad,Human Resources,"['end', 'HR', 'Darwinbox', 'enterprise', 'software']","Chaitanya Peddi, Jayant Paleti, Rohit Chennamaneni","Sequoia Capital India, 3one4 Capital",15000000,Undisclosed
DcodeAI,2020,New Delhi,EdTech,"['EMPOWER', 'LEARNERS', 'FUTURE', 'READY', 'AI']","Kartik Sharma, Ashish Aggarwal",S Chand,500000,Undisclosed
DealShare,2018,Bengaluru,Social commerce,"['Dealshare', 'fast', 'growing', 'social', 'e']","Rajat Shikhar, Sankar Bora, Sourjyendu Medda, Vineet Rao",Abu Dhabi Investment Authority and Twenty Nine Capital Partners,45000000,Series E
DealShare,2018,Jaipur,E-Commerce,"['DealShare', 'Social', 'Commerce', 'Startup']","Sankar Bora, Sourjyendu Medda, Vineet Rao","Omidyar Network, Falcon Edge Capital",3000000,Debt
DealShare,2018,Jaipur,E-Commerce,"['DealShare', 'Social', 'Commerce', 'Startup']","Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital",9000000,Undisclosed
Decentro,2020,Bengaluru,FinTech,"['Decentro', 'provides', 'banking', 'payment', 'APIs']",Rohit Taneja,Leonis Investissement and Kunal Shah,47000000,Series A
Decimal,2020,Indianapolis,FinTech,"['Decimal', 'solves', 'accounting', 'operations', 'SMBs']","Jacob Cloran, Matt Tait",Service Provider Capital and Arthur Ventures,9200000,Undisclosed
Deciwood,2018,New Delhi,Consumer Electronics,"['Deciwood', 'makes', 'Eco', 'friendly', 'wooden']",Ananya Meena,"Shuru Up, Ankit Kedia, Arun Gupta",200000,Undisclosed
DeepRooted,2018,Bengaluru,AgriTech,"['Deep', 'Rooted', 'offers', 'freshness', 'benchmarks']","Avinash BR, Santosh Narasipura, Gururaj Rao, Arvind Murali",IvyCap Ventures and Mayfield Fund,1800000,Series A
Defy,2021,Bengaluru,FinTech,"['Building', 'India', 'social', 'crypto', 'exchange']","Bhagaban Behera, Sriharsha Setty, Nakul Kelkar","Y Combinator, Goat VC, JAM Fund, Goodwater Capital",5500000,Undisclosed
DeHaat,2012,Gurugram,Information Technology,"['end', 'DeHaat', '™', 'fastest', 'growing']","Amrendra Singh, Shyam Sundar, Adarsh Srivastav, Shashank Kumar","Sofina, Lightrock India, Temasek",115000000,Series D
DeHaat,2012,Patna,AgriTech,"['DeHaat', 'connects', 'farmers', 'suppliers', 'buyers']","Shashank Kumar, Manish Kumar","Prosus Ventures, RTP Global",30000000,Series C
DeHaat,2012,Bihar,AgriTech,"['DeHaat', 'AgriTech', 'startup', 'offers', 'technology']","Adarsh Srivastava, Amrendra Singh, Shashank Kumar, Shyam Sundar Singh",RTP Global and Sofina,238600000,Series E
Delhivery,2011,Gurugram,Logistics,"['Delhivery', 'leading', 'logistics', 'supply', 'chain']",Sahil Barua,"Lee Fixel's venture capital firm, Addition",125000000,Undisclosed
Delhivery,2011,Gurugram,Logistics,"['services', 'Delhivery', 'supply', 'chain', 'company']","Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Fidelity, GIC",270000000,Series H
Delhivery,2011,Gurugram,Logistics,"['Delhivery', 'leading', 'logistics', 'supply', 'chain']",Sahil Barua,Addition,76000000,Series I
Delhivery,2011,Gurugram,Logistics,"['Delhivery', 'leading', 'logistics', 'supply', 'chain']",Sahil Barua,"Lee Fixels venture capital firm, Addition",125000000,Undisclosed
Desi Hangover,2014,Mumbai,Apparel & Fashion,"['DesiHangover', 'handcrafted', 'upcycled', 'leather', 'shoe']","Hitesh Kenjale, Lakshya Arora, Abha Agarwal","Social Alpha, CIIE.co, Be An Angel Network",1800000,Undisclosed
Design Cafe,2015,Bengaluru,Design,"['Design', 'Cafe', 'mission', 'democratize', 'good']","Shezan Bhojani, Gita Ramanan","Westbridge Capital, Sixth Sense Ventures",25000000,Undisclosed
Detect Technologies,2016,Chennai,Artificial Intelligence,"['Detect', 'Technologies', 'Industrial', 'AI', 'enterprise']","Daniel Raj David, Harikrishnan Arangali Shaji, Karthik Rajasekaran, Tarun Mishra",BlueHill Asset Management and Elevation Capital,43300000,SeriesB
Detect Technologies,2016,Chennai,Automation,"['Detect', 'Technologies', 'leading', 'Industrial', 'AI']",Daniel Raj David,"Accel Partners, Elevation Capital",12000000,Undisclosed
Devic Earth,2018,Bengaluru,Environment,"['air', 'State', 'art', 'pollution', 'control']",Dr Srikanth Sola,Blue Ashva Capital,1000000,Undisclosed
Devnagri,2017,Noida,Translation ,"['Devnagri', 'AI', 'powered', 'human', 'translation']","Nakul Kundra, Himanshu Sharma","enture Catalyst, IPV",600000,Seed
Dezerv,2021,Mumbai,FinTech,"['Deserv', 'offers', 'integrated', 'portfolio', 'approach']","Sahil Contractor, Sandeep Jethwani, Vaibhav Porwal",GTM Ventures and Whiteboard Capital,27700000,Series A
Dezerv.,2021,Mumbai,Investment Banking,"['investing', 'Integrated', 'Portfolios', 'designed', 'experts']","Sandeep Jethwani, Vaibhav Porwal, Sahil Contractor","Elevation Capital, Matrix Partners India",7000000,Seed
DGV,2019,Bengaluru,Information Technology,"['NeoBanking', 'Bharat']",Ragavan Venkatesan,"Info Edge Ventures, Omnivore",3000000,Pre-series A
Dhiway,2018,Bengaluru,Information Technology,"['verifiable', 'data', 'exchange', 'platform', 'delivering']","Pradeep Kp, Satish Mohan, Sreevidya Satish",. Cornerstone Venture Partners Fund and SUNiCON Ventures,100000,Preseed
Digantara,2018,Bengaluru,SpaceTech,"['Indian', 'Digantara', 'Space', 'Technology', 'Company']","Anirudh N Sharma, Rahul Rawat, Tanveer Ahmed",Kalaari Capital,2500000,Seed
Diginoor,2021,Chennai,Information Technology,"['kind', 'NFT', 'marketplace', 'exclusive', 'officially']","Shaamil Karim, Yash Rathod","Contrary Capital, Polygon Fund",1000000,Seed
Digit ,2016,Bengaluru,Insurance,"['Digit', 'Unicorn', '2021', 'valued', '$']",Kamesh Goyal,"Faering Capital, Sequoia Capital India, IIFL Alternate Asset Managers",200000000,Undisclosed
Digits,2018,San Francisco,Accounting,"['Digits', 'fintech', 'company', 'building', 'tools']","Jeff Seibert, Wayne Chang",Benchmark and GV,97500000,Series C
Disprz,2015,Mumbai,E-Learning,"['AI', 'powered', 'right', 'skilling', 'suite']","Subramanian Viswanathan, Kuljit Chadha","Dallas Venture Capital, Mars Growth Capital",13000000,Series B
Disruptium,2021,Ahmadabad,Consulting,"['consultancy', 'platform', 'startups']","Yash Shah, Kapil Mathrani, Ishit Desai",Pravesh Mehta,200000,Undisclosed
Disruptium,2021,Ahmedabad,Consulting,"['consultancy', 'platform', 'startups']","Yash Shah, Kapil Mathrani, Ishit Desai",Pravesh Mehta,200000,Undisclosed
Dista,2017,Pune,Computer Software,"['Dista', 'AI', 'enabled', 'location', 'intelligence']","Nishant Kumar, Shishir Gokhale, Deepak Garg",Pentathlon Ventures,1200000,Seed
DMI Finance,2008,New Delhi,FinTech,"['pan', 'India', 'technology', 'driven', 'financial']",Arindam Das,Sumitomo Mitsui Trust Bank,47000000,Undisclosed
DMoksha Homes,2020,Mumbai,Textiles,"['Artisans', 'handcraft', 'exquisite', 'environment', 'friendly']","Nimisha, Manav Dhanda","Apoorva Sharma, The Chennai Angels, Karthik Bhat",570000,Seed
D'Moksha Homes,2020,Mumbai,Textiles,"['Artisans', 'handcraft', 'exquisite', 'environment', 'friendly']","Nimisha, Manav Dhanda","Apoorva Sharma, The Chennai Angels, Karthik Bhat",570000,Seed
Do Your Thng,2018,Gurugram,Marketing & Advertising,"['World', 'shared', 'economy', 'platform', 'digital']",Ankit Agarwal,"Angelbay Holdings, Faad Network",1500000,Undisclosed
Doceree,2019,Parsippany,Information Technology,"['Doceree', 'fully', 'integrated', 'programmatic', 'ad']","Daleep Manhas, Harshit Jain, Stephen Hoelper",Multiples,12000000,Undisclosed
DocPlix,2021,Lucknow,Healthcare,"['DocPlix', 'operates', 'digital', 'healthcare', 'platform']",Varun Garg,Pankaj Pandey and Gurpreet Singh,1500000,Undisclosed
Dogsee Chew,2015,Bengaluru,Food & Beverages,"['100', 'Natural', 'Dog', 'Treats']","Bhupendra Khanal, Sneh Sharma","Mankind Pharma, Sixth Sense Ventures",6700000,Series A
Dogsee Chew,2015,Bengaluru,Food & Beverages,"['100', 'Natural', 'Dog', 'Treats']","Bhupendra Khanal, Sneh Sharma",Sixth Sense Ventures,7000000,Pre-series A
Doola,2020,New York,Entreprenurship,"['ultimate', 'Stop', 'Shop']","Arjun Mahadevan, JP Pincheira",Nexus Venture Partners,3000000,Undisclosed
DotPe,2019,Gurugram,FinTech,"['DotPe', 'innovative', 'offline', 'technology', 'platform']","Anurag Gupta, Gyanesh Sharma, Shailaz Nag","Info Edge, Ruizheng Investment",8000000,Seed
DotPe ,2019,Gurugram,FinTech,"['DotPe', 'technology', 'start', 'providing', 'commerce']","Anurag Gupta, Gyanesh Sharma, Shailaz Nag","PayU, Google",27000000,Series A
Doubtnut,2016,Gurugram,EdTech,"['Doubtnut', 'operates', 'e', 'learning', 'platform']","Aditya Shankar, Tanushree Nagori","Omidyar Network, Tencent Holdings",30000000,Series B
Doubtnut,2016,Gurugram,EdTech,"['Doubtnut', 'operates', 'e', 'learning', 'platform']","Aditya Shankar, Ravi Sekhar KV, Tanushree Nagori",Sequoia Capital India and Lupa Systems,49900000,Series B
Dozee,2015,Bengaluru,Healthcare,"['sleep', 'Dozee', 'India', 'contactless', 'health']","Mudit Dandwate, Dandwate",Prime VP,5000000,Series A
DPD Zero,2022,Bengaluru,Fintech,"['end', 'DPDzero', 'borrower', 'data', 'platform']",Anant Shroff,Abhishek Kothari and Ramanathan RV,3900000,Pre-seed
Dream11,2008,Mumbai,Gaming,"['Dream', 'Sports', 'India', 'leading', 'sports']","Bhavit Sheth, Harsh Jain","TCV, D1 Capital Partners, Falcon Edge.",400000000,Undisclosed
Dream11,2008,Mumbai,SportsTech,"['sports', 'Dream', 'Sports', 'Indias', 'leading']",Harsh Jain,"Falcon Edge, DST Global, D1 Capital, Redbird Capital, Tiger Global",840000000,Undisclosed
Driffle,2021,Bengaluru,E-Commerce,"['gamers', 'marketplace', 'built', 'Browse', 'huge']","Abhishek Kumar, Chetan Bhardwaj, Gaurav Kumar Jha, Mayank Chawla",Better Capital and Amit Damani,34000000,Seed
DrinkPrime,2016,Bengaluru,Consumer Goods,"['India', 'Smartest', 'Water', 'Purifiers', 'redefining']",Anil Kejriwal,"UC Inclusive Credit, Western Capital",1000000,Undisclosed
Droom,2014,Haryana,Automotive,"['Droom', 'tech', 'data', 'science', 'driven']",Sandeep Agrawal,Multiples,333000000,Undisclosed
Dropshop,2019,Bengaluru,Logistics,"['Building', 'technology', 'distribution', 'efficient', 'cheaper']","Udit Dhawan, Rohit Fernandes, Ravi Teja",Inflection Point Ventures,1000000,Pre-series A
Dukaan,2020,Bengaluru,Retail,"['Help', 'forward', 'thinking', 'entrepreneurs', 'providing']","Suumit Shah, Subhash Choudhary","HOF Capital, Old Well Ventures, LetsVenture, 9Unicorns",11000000,Series A
Dunzo,2015,Bengaluru,E-Commerce,"['Dunzo', '24X7', 'delivery', 'platform', 'picks']","Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha",Reliance Retail Ventures Limited,240000000,Undisclosed
Dunzo,2015,Bengaluru,Food Delivery,"['delivery', 'Dunzo', 'hyper', 'local', 'app']","Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Lightbox, Evolvence India Fund",40000000,Series E
Duroflex,1963,Bengaluru,Furniture,"['5', 'decades', 'experience', 'superior', 'quality']",P. C. Mathew,Norwest Venture Partners,60000000,Undisclosed
DusMinute,2017,Bengaluru,Retail,"['DusMinute', 'aims', 'transform', 'communities', 'live']",Apoorva Mishra,Indian Angel Network,1100000,Pre-series A
Dvara E-Dairy,2019,Chennai,FinTech,"['Dvara', 'E', 'Dairy', 'aims', 'empower']",Ravi KA,Dvara Holdings and Axilor Ventures,200000,Undisclosed
Dvara SmartGold,2019,Mumbai,FinTech,"['Investment', 'service', 'financially', 'integrate', 'household']",Sanjeev Agarwal,"Axilor, Dvara Holdings",2000000,Pre-series A
Dybo,2019,Bengaluru,Information Technology,"['Product', 'Visualisation', 'Technology', 'Commerce']",Dhawal Jain,Spanache,100000,Seed
Dyte,2020,Bengaluru,Information Technology,"['Dyte', 'provides', 'easiest', 'way', 'add']","Felix Lee,Vivan",Multiples,15300000,Undisclosed
E42,2012,Pune,Computer Software,"['E42', 'world', 'leading', 'Natural', 'Language']","Animesh Samuel, Sanjeev Menon",Pavestone Ventures,5400000,Series A
Earth Rhythm,2020,Gurugram,Beauty,"['mission', 'customers', 'healthier', 'Earth', 'little']",Harini Sivakumar,Anicut Angel Fund,1200000,Seed
Easebuzz,2015,Pune,E-Commerce,"['online', 'Easebuzz', 'easy', 'use', 'portal']",Rohit Prasad,"Jitendra Gupta, Amrish Rau",4000000,Series A
Easiloan,2020,Mumbai,FinTech,"['Fintech', 'startup', 'offering', 'fast', 'easy']","Pramod Kathuria, Vishal Dawda",Tomorrow Capital,1000000,Undisclosed
Easy Salary,2015,Pune,FinTech,"['EarlySalary.com', 'new', 'FinTech', 'start', 'Pune']",Akshay Mehrotra,TPG Growth and Norwest Venture Partners,130300000,Series D
EasyAspataal,2020,Mumbai,Healthcare,"['India', 'Digital', 'Admission', 'Desk', 'Hospitalisation']","Manoj Gupta, Gunjali Kothari",Venture Catalysts,500000,Seed
Eat Better Ventures,2020,Jaipur,Food & Beverages,"['Makes', 'delicious', 'healthy', 'snacks', 'helps']","Mridula Kanoria, Shaurya Kanoria","Java Capital, Mumbai Angels",700000,Seed
Ecom Express,2012,New Delhi,E-Commerce,"['end', 'Ecom', 'Express', 'technology', 'enabled']","K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan","CDC Group, Partners Group",20000000,Undisclosed
Ecom Express,2012,New delhi,Logistics,"['Ecom', 'Express', 'logistics', 'solutions', 'company']","K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan",CDC Group and Partners Group,485,Undisclosed
Ecotrail Personal Care,2012,Ahmedabad,Beauty,"['care', 'manufacturer', 'skin', 'body', 'hair']","Grishma Teli, Mauli Teli",GVFL.,0,Undisclosed
EdgeGrid,2020,Hyderabad,Software,"['Energy', 'Cloud', 'India', 'energy', 'platform']","Sunil Talla, Prasad Yerneni",Lightrock India,6000000,Seed
Edmingle,2016,Bengaluru,EdTech,"['Edmingle', 'platform', 'educators', 'want', 'launch']",Gaurav Doshi,"Indovation Fund, Mumbai Angels",300000,Undisclosed
EduFund,2020,Gujarat,FinTech,"['Changing', 'way', 'Indians', 'evaluate', 'plan']","Arindam Sengupta, Eela Dubey",View Trade Holding Corp,300000,Pre-seed
EduGorilla,2019,Lucknow,EdTech,"['EduGorilla', 'tech', 'enabled', 'platform', 'vernacular']","Rohit Manglik, Shashwat Vikram",Village Capital and Aspen Network of Development Entrepreneurs,3500000,Unknown
Edukemy,2020,Noida,EdTech,"['Edukemy', 'EdTech', 'company', 'country', 'non']",Chandrahas Panigrahi,"Auxano, Falcon5",2000000,Pre-series A
Edustoke,2016,Bengaluru,EdTech,"['Edustoke', 'India', 'Largest', 'School', 'Discovery']","Pawas Tyagi, Rohit Malik",Indus Initiatives,400000,Seed
Eduvanz,2016,Mumbai,FinTech,"['Eduvanz', 'new', 'innovative', 'finance', 'company']","Atul Sashittal, Raheel Shah, Varun Chopra","InCred Financial Services, Vivriti Capital, Northern Arc Capital",10000000,Debt
Edvizo,2017,Bengaluru,Consumer Services,"['Edvizo', 'online', 'marketplace', 'help', 'students']",Ravi Nishant,Inflection Point Ventures,1000000,Pre-series A
EF Polymer,2018,Rajsamand,AgriTech,"['Sustainable', 'Agriculture', 'creating', 'sustainable', 'inputs']",Narayan Lal Gurjar,MTG Ventures,200000,Undisclosed
Eggoz,2017,Gurugram,Food & Beverages,"['meaningful', 'impact', 'improve', 'protein', 'consumption']","Abhishek Negi, Uttam Kumar, Aditya Singh, Pankaj Pandey","Nabventures, Avaana Capital",3500000,Series A
Eka Care,2020,Bengaluru,Healthcare,"['Eka', 'Care', 'digitally', 'enabled', 'connected']","Deepak Tuli, Vikalp Sahni",Mirae Asset Global Investments and Verlinvest,19500000,Series A
Eka.care,2020,Bengaluru,Healthcare,"['digitally', 'enabled', 'connected', 'healthcare', 'ecosystem']",Vikalp Sahni,"Deep Kalra, Ashish Kashyap, Rajesh Magow",4500000,Undisclosed
Ekank Technologies,2020,New Delhi,Software,"['Vision', 'create', 'gateway', 'people', 'access']","Chandranshu, Chetan Rexwal","Archana Priyadarshini, Amit Jain, Amit Hooja, Deepak Jain",1000000,Undisclosed
ekincare,2014,Hyderabad,Healthcare,"['Fastest', 'growing', 'patented', 'health', 'beneﬁts']","Kiran Kalakuntla, Srikanth Samudrala, Dr Noel Coutinho","HealthQuad, Sabre Partners",15000000,Series B
ElasticRun,2015,Pune,E-Commerce,"['ElasticRun', 'develops', 'online', 'system', 'improves']","Sandeep Deshmukh, Saurabh Nigam, Shitiz Bansal","Avataar Venture Partners, Kalaari Capital",75000000,Series D
ElasticRun,2016,Pune,B2B E-commerce,"['Kirana', 'ElasticRun', 'Commerce', 'Platform', 'enables']","Sandeep Deshmukh, Saurabh Nigam, Shitiz Bansal","SoftBank, Goldman Sachs",300000000,Series E
Elda Health,2020,Bengaluru,Healthcare,"['wellness', 'Elda', 'Health', 'digital', 'platform']","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000,Undisclosed
Elda Health,2020,Bengaluru,Healthcare,"['wellness', 'Elda', 'Health', 'digital', 'platform']","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000,Seed
ElectricPe,2021,Bengaluru,Electrical Vehicle,"['India', 'largest', 'Electric', 'Vehicle', 'Charging']","Avinash Sharma, Raghav Rohila","Blume Ventures, Micelio Fund",3000000,Seed
Elevar,2017,Mumbai,SportsTech,"['Revolutionary', 'Sports', 'Brand', 'Engineered', 'Want']","Kunal Joshi, Pranav Marwah","Kalaari Capital, Dream Capital",2000000,Undisclosed
ElevateHQ,2021,San Francisco,Software,"['Sales', 'SaaS', 'Automate', 'Incentives', 'Motivate']","Apoorv Singh, Kartik Arora",PointOne Capital and Leo Capital,1100000,pre-seed
Elever,2020,Bengaluru,FinTech,"['India', 'kind', 'fully', 'personalised', 'goal']","Anshul Sharan, Ram Subramaniam, Santosh R","Massimo Vita, Udaya Kumar",750000,Undisclosed
Elixia Tech Solutions,2011,Mumbai,Information Technology,"['End', 'Logistics', 'Automation', 'Expert']",Sanket Sheth,Rajasthan Venture Capital Fund,1000000,Pre-series A
Eloelo,2015,Bengaluru,Gaming,"['Creator', 'led', 'Social', 'Gaming', 'Live']","Saurabh Pandey, Akshay Dubey","Waterbridge, Lumikai",2000000,Pre-series A
Eloelo,2020,Bengaluru,Short Videos,['nan'],"Akshay Dubey, Saurabh Pandey",WaterBridge Ventures and Kalaari Capital,1500000,Undisclosed
Elucidata,2015,New Delhi,Biotechnology,"['Elucidata', 'Corporation', 'uses', 'data', 'analytics']","Abhishek Jha, Richard Kibbey, Swetabh Pathak",Hyperplane Venture Capital,5000000,Pre-series A
Emeritus,2015,Mumbai,EdTech,"['Emeritus', 'committed', 'teaching', 'skills', 'future']",Ashwin Damera,CPP Investments,350000000,Undisclosed
EMotorad,2020,Pune,Manufacturing,"['electric', 'EMotorad', 'vehicles', 'company', 'provides']","Aditya Oza, Kunal Gupta, Rajib Gangopadhyay, Sumedh Battewar",Ivy Growth Associates and LetsVenture,46500000,Seed
Endimension,2018,Mumbai,Healthcare,"['Endimension', 'Technology', 'healthcare', 'Artificial', 'Intelligence']","Bharadwaj Kss, Apparao MLV, Kurien Zacharia",Inflection Point Ventures,300000,Seed
Enercomp,2013,Ahmedabad,Information Technology,"['Enercomp', 'Solutions', 'Pvt', 'Ltd', 'provide']",SURESH SHAHDADPURI,ah! Ventures,200000,Undisclosed
Enguru,2014,Bengaluru,EdTech,"['enguru', 'offers', 'application', 'enables', 'users']","Arshan Vakil, Tahem Verma",LetsVenture and Arihant Patni,4200000,Seed
Enmovil,2015,Hyderabad,Information Technology,"['Enmovil', 'delivers', 'Business', 'Intelligence', 'Platform']","Ravi Bulusu, Nanda Kishore, Venkat Moganty",Anicut Angel Fund,1300000,Pre-series A
Enphase Energy,2006,Petaluma,Environment,"['Enphase', 'Energy', 'offers', 'micro', 'inverter']","Isidoro Quiroga, Martin Fornage, Raghu Belu",T.J. Rodgers and John Doerr,116000000,Undisclosed
Ensologic,2019,New Delhi,International Trade & Development,"['Ensologic', 'India', 'numero', 'uno', 'cross']","Anil Agrawal, Kunal Jain","Indian Angel Network (IAN), Hyderabad Angels",520000,Seed
Ensuredit,2019,Bengaluru,Artificial Intelligence,"['Ensuredit', 'provides', 'AI', 'based', 'platform']","Amit Boni, Rohit Rathi, Rohit Sadhu, Sachin Mandon, Vikas Ranga",. Venture Catalysts and 9Unicorns Accelerator Fund,4900000,Seed
Enthu.ai,2020,Chandigarh,Artificial Intelligence,"['Enthu', 'AI', 'operates', 'conversation', 'intelligence']","Tushar Jain, Vishal Verma",Appit Simple Infotek,200000,Undisclosed
Entri.app,2015,Kochin,E-Learning,"['learning', 'E', 'Entri', 'vernacular', 'language']",Mohammed Hisamuddin,"Omidyar Network India, Innospark Ventures",7000000,Series A
ePayLater,2015,Mumbai,FinTech,"['payment', 'ePaylater', 'solution', 'aims', 'separate']","Aurko Bhattacharya, Akshat Saxena","Responsibility, Blue Ashva Capital, Pravega Ventures",10000000,Series B
Epigeneres Biotech,2008,Mumbai,Biotechnology,"['Epigeneres', 'leading', 'biotechnology', 'company', 'discovers']",Ashish Tripathi,"LetsVenture Angel Fund, Moez Daya",60000000,Series B
EPNS,2020,Mumbai,Software,"['BUIDLing', 'World', 'Decentralized', 'Notification', 'Protocol']","Harsh Rajat, Richa Joshi",BR Capital and LD Capital,66000000,Seed
Equip.co,2020,Bengaluru,Recruitment,"['Equip.co', 'platform', 'skill', 'based', 'hiring']",Jayanth Neelakanta,Better Capital,6400000,Pre seed
Ergos,2012,Samsitpur,AgriTech,"['Ergos', 'building', 'integrated', 'supply', 'chain']","Kishor Kumar Jha, Praveen Kumar","CDC Group, Aavishkaar Venture Capital",3000000,Series A
Eruditus,2010,Bengaluru,Education Management,"['Eruditus', 'provides', 'global', 'access', 'executive']","Ashwin Damera, Chaitanya",Multiples,1200000000,Undisclosed
eShipz,2019,Bengaluru,Software,"['Shipping', 'Digital', 'Platform', 'Creating', 'best']","Shashi S Tripathi, Shivadeep Mahadi, Ajaykumar R","Indian Angel Network, Axilor",700000,Undisclosed
Esmito,2018,Taramani,Information Technology,"['Esmito', 'provides', 'variety', 'solutions', 'Logistics']",Prabhjot Kaur,Unicorn India Venture,1000000,Seed
EsportsXO,2020,Bengaluru,Gaming,"['management', 'esports', 'company', 'offers', 'tournament']","Utsav Umang, Rohit Raj, Vikas Goel","We Founder Circle, Wami Capital, SucSEED Indovation Fund",1000000,Seed
EsportsXO,2020,Bengaluru,Gaming,"['EsportsXO', 'esports', 'tournament', 'management', 'company']","Utsav Umang, Rohit Raj, Vikas Goel",We Founder Circle,1100000,Seed
Euler Motors,2018,New Delhi,Automotive,"['Electric', 'Light', 'Commercial', 'Vehicle']",Saurav Kumar,"ADB Ventures, Jetty Ventures",2600000,Series A
Euler Motors,2018,New Delhi,Automotive,"['Electric', 'Light', 'Commercial', 'Vehicle']",Saurav Kumar,"Jetty Ventures, Srinivas Anumolu",4000000,Series A
Eunimart,2016,Hyderabad,E-Commerce,"['Eunimart', 'stop', 'solution', 'merchants', 'create']","Saikat Roy, Shayak Mazumder","SucSEED Venture Partners, TMT Connekt",700000,Pre-series A
Eupheus,2017,New Delhi,EdTech,"['Eupheus', 'Learning', 'offers', 'seamless', 'integrated']","Amit Kapoor, Rohit Dhar, Sarveshwar Shrivastava, Ved Prakash Khatri","Yuj Ventures, Sixth Sense Ventures",4000000,Series B
Eupheus Learning,2017,New Delhi,E-Learning,"['Offer', 'pedagogically', 'differentiated', 'technology', 'driven']","Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Lightrock India,10000000,Series C
